,sin_d,cos_d,sin_t,cos_t,cl_1,cl_2,cl_3,cl_4,cl_5,cl_6,target
73,0.9749279121818236,-0.22252093395631434,-0.9537169507482267,-0.3007057995042738,m,m,m,m,m,m,m
74,0.9749279121818236,-0.22252093395631434,-0.9659258262890683,-0.25881904510252063,m,m,m,m,m,m,m
75,0.9749279121818236,-0.22252093395631434,-0.9762960071199334,-0.21643961393810282,m,m,m,m,m,m,m
76,0.9749279121818236,-0.22252093395631434,-0.984807753012208,-0.17364817766693033,m,m,m,m,m,m,m
77,0.9749279121818236,-0.22252093395631434,-0.9914448613738104,-0.13052619222005163,m,m,m,m,m,m,m
78,0.9749279121818236,-0.22252093395631434,-0.9961946980917455,-0.08715574274765825,m,m,m,m,m,m,m
79,0.9749279121818236,-0.22252093395631434,-0.9990482215818578,-0.04361938736533613,m,m,m,m,m,m,m
80,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,m,m,m,m,m,m,m
81,0.9749279121818236,-0.22252093395631434,-0.9990482215818578,0.043619387365335764,m,m,m,m,m,m,m
82,0.9749279121818236,-0.22252093395631434,-0.9961946980917455,0.08715574274765789,m,m,m,m,m,m,m
83,0.9749279121818236,-0.22252093395631434,-0.9914448613738104,0.13052619222005213,m,m,m,m,m,m,m
84,0.9749279121818236,-0.22252093395631434,-0.9848077530122081,0.17364817766692997,m,m,m,m,m,m,m
85,0.9749279121818236,-0.22252093395631434,-0.9762960071199335,0.21643961393810246,m,m,m,m,m,m,m
86,0.9749279121818236,-0.22252093395631434,-0.9659258262890682,0.25881904510252113,m,m,m,m,m,m,m
87,0.9749279121818236,-0.22252093395631434,-0.953716950748227,0.3007057995042726,m,m,m,m,m,m,m
88,0.9749279121818236,-0.22252093395631434,-0.9396926207859085,0.34202014332566816,m,m,m,m,m,m,m
89,0.9749279121818236,-0.22252093395631434,-0.9238795325112866,0.38268343236509,m,m,m,m,m,m,m
90,0.9749279121818236,-0.22252093395631434,-0.9063077870366498,0.4226182617406996,m,m,m,m,m,m,m
91,0.9749279121818236,-0.22252093395631434,-0.887010833178222,0.46174861323503325,m,m,m,m,m,m,m
92,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,m,m,m,m,m,m,m
93,0.9749279121818236,-0.22252093395631434,-0.8433914458128857,0.5372996083468239,m,m,m,m,m,m,m
94,0.9749279121818236,-0.22252093395631434,-0.8191520442889918,0.573576436351046,m,m,m,m,m,m,l
95,0.9749279121818236,-0.22252093395631434,-0.7933533402912352,0.6087614290087207,m,m,m,m,m,l,m
96,0.9749279121818236,-0.22252093395631434,-0.7660444431189781,0.6427876096865393,m,m,m,m,l,m,m
97,0.9749279121818236,-0.22252093395631434,-0.7372773368101242,0.6755902076156601,m,m,m,l,m,m,l
98,0.9749279121818236,-0.22252093395631434,-0.7071067811865477,0.7071067811865474,m,m,l,m,m,l,m
99,0.9749279121818236,-0.22252093395631434,-0.6755902076156605,0.7372773368101239,m,l,m,m,l,m,l
100,0.9749279121818236,-0.22252093395631434,-0.6427876096865396,0.7660444431189778,l,m,m,l,m,l,l
101,0.9749279121818236,-0.22252093395631434,-0.6087614290087209,0.7933533402912349,m,m,l,m,l,l,l
102,0.9749279121818236,-0.22252093395631434,-0.5735764363510465,0.8191520442889916,m,l,m,l,l,l,l
103,0.9749279121818236,-0.22252093395631434,-0.5372996083468242,0.8433914458128855,l,m,l,l,l,l,l
104,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,m,l,l,l,l,l,l
105,0.9749279121818236,-0.22252093395631434,-0.46174861323503363,0.8870108331782218,l,l,l,l,l,l,l
106,0.9749279121818236,-0.22252093395631434,-0.4226182617407,0.9063077870366497,l,l,l,l,l,l,l
107,0.9749279121818236,-0.22252093395631434,-0.38268343236508956,0.9238795325112868,l,l,l,l,l,l,l
108,0.9749279121818236,-0.22252093395631434,-0.3420201433256686,0.9396926207859084,l,l,l,l,l,l,l
109,0.9749279121818236,-0.22252093395631434,-0.30070579950427384,0.9537169507482267,l,l,l,l,l,l,l
110,0.9749279121818236,-0.22252093395631434,-0.2588190451025207,0.9659258262890683,l,l,l,l,l,l,l
111,0.9749279121818236,-0.22252093395631434,-0.21643961393810288,0.9762960071199334,l,l,l,l,l,l,l
112,0.9749279121818236,-0.22252093395631434,-0.17364817766693127,0.9848077530122079,l,l,l,l,l,l,l
